ObjectID,ObjRightsType,ObjectStatusID
1271,Public Domain,1
1272,Public Domain,1
1274,Copyright Protected,1
1275,Public Domain,1
1276,Public Domain,1
1277,Copyright Protected,1
1278,Copyright Protected,1
1279,Public Domain,1
1280,Public Domain,1
1281,Public Domain,1
1282,Public Domain,1
1283,Public Domain,1
1284,Public Domain,1
1285,Public Domain,1
1286,Public Domain,1
1287,Public Domain,1
1288,Public Domain,1
1289,Public Domain,1
1290,Public Domain,1
1291,Public Domain,1
1292,Public Domain,1
1293,Public Domain,1
1294,Public Domain,1
1295,Public Domain,1
1296,Public Domain,1
1297,Public Domain,1
1298,Public Domain,1
1299,Public Domain,1
1300,Public Domain,1
1301,Public Domain,1
1302,Public Domain,1
1303,Public Domain,1
1305,Public Domain,1
1306,Public Domain,1
1307,Public Domain,1
1308,Public Domain,1
1309,Public Domain,1
1310,Public Domain,1
1311,Public Domain,1
1312,Public Domain,1
1313,Public Domain,1
1314,Public Domain,1
1315,Permission with Restrictions,1
1316,Public Domain,1
1317,Public Domain,1
1318,Public Domain,1
1319,Public Domain,1
1320,Public Domain,1
1321,Copyright Protected,1
1322,Public Domain,1
1323,Public Domain,1
1324,Public Domain,1
1325,Public Domain,1
1326,Public Domain,1
1327,Public Domain,1
1328,Public Domain,1
1329,Copyright Protected,1
1330,Non-Commercial Use,1
1331,Online Use Only,1
1332,Online Use Only,1
1333,Public Domain,1
1335,Public Domain,1
1336,Public Domain,1
1337,Public Domain,1
1338,Public Domain,1
1339,Public Domain,1
1340,Public Domain,1
1341,Public Domain,1
1342,Public Domain,1
1345,Public Domain,1
1346,Public Domain,1
1347,Public Domain,1
1348,Public Domain,1
1349,Public Domain,1
1351,Public Domain,1
1352,Public Domain,1
1353,Public Domain,1
1354,Non-Commercial Use,1
1355,Permission with Restrictions,1
1356,Public Domain,1
1357,Public Domain,1
1358,Public Domain,1
1359,Public Domain,1
1360,Public Domain,1
1361,Public Domain,1
1363,Public Domain,1
1364,Public Domain,1
1365,Public Domain,1
1366,Public Domain,1
1367,Public Domain,1
1369,Public Domain,1
1370,Copyright Protected,1
1371,Copyright Protected,1
1372,Public Domain,1
1373,Public Domain,1
1374,Public Domain,1
1375,Public Domain,1
1376,Public Domain,1
1378,Public Domain,1
1379,Public Domain,1
1380,Public Domain,1
1381,Public Domain,1
1382,Public Domain,1
1383,Public Domain,1
1384,Public Domain,1
1385,Public Domain,1
1386,Public Domain,1
1387,Copyright Protected,1
1388,Public Domain,1
1389,Public Domain,1
1390,Public Domain,1
1391,Public Domain,1
1392,Public Domain,1
1393,Public Domain,1
1394,Public Domain,1
1395,Public Domain,1
1396,Public Domain,1
1397,Public Domain,1
1398,Public Domain,1
1399,Public Domain,1
1400,Public Domain,1
1401,Public Domain,1
1402,Public Domain,1
1403,Public Domain,1
1404,Public Domain,1
1405,Public Domain,1
1406,Public Domain,1
1407,Copyright Protected,1
1408,Public Domain,1
1410,Public Domain,1
1411,Copyright Protected,1
1413,Public Domain,1
1414,Public Domain,1
1415,Copyright Protected,1
1416,Public Domain,1
1417,Public Domain,1
1418,Public Domain,1
1419,Copyright Protected,1
1420,Public Domain,1
1421,Public Domain,1
1422,Copyright Protected,1
1423,Copyright Protected,1
1424,Copyright Protected,1
1425,Copyright Protected,1
1426,Copyright Protected,1
1427,Copyright Protected,1
1428,Public Domain,1
1429,Copyright Protected,1
1430,Public Domain,1
1431,Public Domain,1
1433,Public Domain,1
1434,Copyright Protected,1
1435,Public Domain,1
1436,Public Domain,1
1437,Public Domain,1
1438,Public Domain,1
